ID	country
India/DL-ILBS-WGS1051/2021	India
India/WB-INSACOG-1930301677698/2021	India
Belgium/MBLG-CTMAPF38159608/2021	Belgium
Belgium/MBLG-CTMAPF17200460/2022	Belgium
Belgium/MBLG-CTMAPF21925922/2021	Belgium
Belgium/MBLG-CTMAPF84728092/2022	Belgium
Belgium/ULB-IBC_CV8329214285/2021	Belgium
Belgium/UZA-UA-CV8325831110/2021	Belgium
Belgium/MBLG-CTMAPF20921667/2022	Belgium
Belgium/UZA-UA-CV2310754410/2021	Belgium
Belgium/ULG-23162/2021	Belgium
Belgium/MBLG-CTMAPF31789509/2021	Belgium
Switzerland/BL-ETHZ-35688352/2022	Switzerland
Switzerland/VD-CHUV-GEN9614/2021	Switzerland
Switzerland/SG-ETHZ-35447366/2021	Switzerland
Switzerland/VS-ETHZ-35449210/2021	Switzerland
Switzerland/VD-CHUV-GEN9424/2021	Switzerland
Switzerland/GE-HUG-36888296/2022	Switzerland
Switzerland/AG-ETHZ-35533112/2022	Switzerland
Switzerland/GL-ETHZ-35097744/2021	Switzerland
Switzerland/TI-ETHZ-35501171/2021	Switzerland
Switzerland/TI-ETHZ-35505116/2021	Switzerland
Netherlands/ZH-RIVM-83052/2021	Netherlands
Netherlands/NH-RIVM-79859/2021	Netherlands
Netherlands/LI-RIVM-86009/2022	Netherlands
Netherlands/NH-AUMC-016066/2021	Netherlands
Netherlands/NB-RIVM-78661/2021	Netherlands
Netherlands/OV-RIVM-83492/2022	Netherlands
Netherlands/LB-RIVM-75389/2021	Netherlands
Netherlands/NB-MVD-CWGS2200398/2022	Netherlands
Netherlands/ZH-RIVM-77271/2021	Netherlands
Netherlands/ZH-RIVM-81902/2021	Netherlands
Indonesia/JK-GS-GSILab-874291/2022	Indonesia
Indonesia/JK-NIHRD-MI.22.09068/2022	Indonesia
Indonesia/BT-NIHRD-MI_22_00303/2022	Indonesia
Indonesia/JT-Labkes-27s/2022	Indonesia
Indonesia/JI-GS-ITD-53380N/2022	Indonesia
Indonesia/YO-GS-22_01568/2022	Indonesia
Indonesia/JK-NIHRD-WGS_22_01048/2022	Indonesia
Indonesia/KI-NIHRD-WGS.22.00158/2022	Indonesia
Indonesia/JK-GS-WJHL-ITB-NIHRD-WGS267/2022	Indonesia
Indonesia/NT-Labkes-43B/2022	Indonesia
Mexico/CMX-INMEGEN-45-334/2021	Mexico
Mexico/CMX-INMEGEN-45-356/2021	Mexico
Mexico/CHH_IBT_IMSS_6065/2022	Mexico
Mexico/SON_IBT_IMSS_5496/2021	Mexico
Mexico/CMX-INMEGEN-56-31/2022	Mexico
Mexico/JAL-INMEGEN-47-180/2021	Mexico
Mexico/JAL_IBT_IMSS_5417/2021	Mexico
Mexico/CMX-INMEGEN-45-341/2021	Mexico
Mexico/CMX_IBT_IMSS_5285/2021	Mexico
Mexico/CMX_IBT_IMSS_6180/2022	Mexico
Italy/SIC-CQRC-3019312/2021	Italy
Italy/ABR-IZSGC-319759/2021	Italy
Italy/EMR_AUSLRomagna_C121-21-08/2021	Italy
Italy/VEN-ULSS3GEN-7001983943_VE/2021	Italy
Italy/ABR-IZSGC-2022TE949/2021	Italy
Italy/LOM-ASSTMonza-619153-20211219083000/2021	Italy
Italy/SIC_CQRC_3232395/2022	Italy
Italy/ABR-IZSGC-319720/2021	Italy
Italy/EMR-IZSLER-2021-426251-001-01/2021	Italy
Italy/EMR-AUSLRomagna_C009-22-36/2022	Italy
France/IDF-IPP53608/2021	France
France/IDF-HMN-21122310510/2021	France
France/IDF-CERBAHC-12978698/2021	France
France/GES-HMN-22012170553/2022	France
France/NOR-HMN-21122301080/2021	France
France/HDF-CERBAHC-1240710/2021	France
France/IDF-HMN-21122240228/2021	France
France/NAQ-HCL021231419901/2021	France
France/IDF-HMN-21122160365/2021	France
France/ARA-HCL021231537001/2021	France
Germany/BW-RKI-I-406914/2021	Germany
Germany/BB-RKI-I-469297/2022	Germany
Germany/NW-RKI-I-416837/2021	Germany
Germany/BW-RKI-I-435458/2022	Germany
Germany/BY-RKI-I-409231/2021	Germany
Germany/SH-RKI-I-458700/2022	Germany
Germany/NW-RKI-I-438371/2022	Germany
Germany/NW-RKI-I-383790/2021	Germany
Germany/BY-RKI-I-473713/2021	Germany
Germany/HE-RKI-I-477643/2022	Germany
Denmark/DCGC-283475/2021	Denmark
Denmark/DCGC-304954/2022	Denmark
Denmark/DCGC-318707/2022	Denmark
Denmark/DCGC-313815/2022	Denmark
Denmark/DCGC-321540/2022	Denmark
